,시도,어종류,연도,월,총마릿수[마리],총중량[kg]
885,경기,복어류,2023,06,0.0,0.0
886,경기,복어류,2023,07,0.0,0.0
887,경기,복어류,2023,08,0.0,0.0
888,경기,복어류,2023,09,0.0,0.0
889,경기,복어류,2023,10,0.0,0.0
890,경기,복어류,2023,11,0.0,0.0
891,경기,복어류,2023,12,0.0,0.0
892,경기,복어류,2024,01,0.0,0.0
893,경기,복어류,2024,02,0.0,0.0
894,경기,복어류,2024,03,0.0,0.0
895,경기,복어류,2024,04,0.0,0.0
896,경기,복어류,2024,05,0.0,0.0
897,경기,복어류,2024,06,0.0,0.0
898,경기,복어류,2024,07,0.0,0.0
899,경기,복어류,2024,08,0.0,0.0
900,경기,복어류,2024,09,0.0,0.0
901,경기,복어류,2024,10,0.0,0.0
1078,경기,조피볼락(우럭),2023,01,91.0,31.3
1079,경기,조피볼락(우럭),2023,02,115.0,37.6
1080,경기,조피볼락(우럭),2023,03,2421.0,2208.3
1081,경기,조피볼락(우럭),2023,04,6006.0,5946.1
1082,경기,조피볼락(우럭),2023,05,6846.0,5707.8
1083,경기,조피볼락(우럭),2023,06,5132.0,2286.2
1084,경기,조피볼락(우럭),2023,07,3407.0,1913.9
1085,경기,조피볼락(우럭),2023,08,2205.0,1122.4
1086,경기,조피볼락(우럭),2023,09,199.0,95.3
1087,경기,조피볼락(우럭),2023,10,1439.0,579.1
1088,경기,조피볼락(우럭),2023,11,2869.0,914.4
1089,경기,조피볼락(우럭),2023,12,2316.0,986.6
1090,경기,조피볼락(우럭),2024,01,2157.0,908.5
1091,경기,조피볼락(우럭),2024,02,1921.0,715.5
1092,경기,조피볼락(우럭),2024,03,3869.0,1266.5
1093,경기,조피볼락(우럭),2024,04,8699.0,3358.3
1094,경기,조피볼락(우럭),2024,05,8849.0,3386.4
1095,경기,조피볼락(우럭),2024,06,11060.0,5278.0
1096,경기,조피볼락(우럭),2024,07,7640.0,3503.6
1097,경기,조피볼락(우럭),2024,08,5151.0,2345.9
1098,경기,조피볼락(우럭),2024,09,127.0,44.9
1099,경기,조피볼락(우럭),2024,10,729.0,277.8
1100,경기,주꾸미,2023,01,0.0,0.0
1101,경기,주꾸미,2023,02,0.0,0.0
